,index,splitted
376,James L. Brooks (screenplay),1
377,Nils Gaup (screenplay),1
378,William Nack (book),1
379,Ryan Rowe (screenplay),1
380,Ian Maxtone-Graham (screenplay),1
381,Larry Brody,1
382,Greg Dinner (screenplay),1
383,George Evelyn,1
384,Karen McCullah,1
385,George Meyer (screenplay),1
386,Amy Engelberg (teleplay),1
387,Amy Engelberg (story),1
388,Wendy Engelberg (story),1
389,Christopher Spencer,1
390,Colin Swash,1
391,Chris Matheson (teleplay),1
392,Francess Lantz (book),1
393,Barbara Johns (story),1
394,Barbara Johns (teleplay),1
395,Jerry Spinelli (based on the novel by),1
396,Jordan Horowitz (screenplay by),1
397,Julia Hart (screenplay by),1
398,Kristin Hahn (screenplay by),1
399,Rian Johnson,1
400,Michael Arndt,1
401,J.J. Abrams,1
402,Lawrence Kasdan,1
403,Leigh Brackett (screenplay by),1
404,Scott Murphy,1
405,Steven Melching,1
406,Jonathan Hales (screenplay by),1
407,Kiri Hart,1
408,Wendy Engelberg (teleplay),1
409,Steve Hayes,1
410,Bruce Jay Friedman (screenplay by),1
411,Walt Morey,1
412,Jess Winfield (story),1
413,Jim Peterson,1
414,Rob Humphrey,1
415,John Behnke,1
416,"Edgar Rice Burroughs (""Tarzan"" stories)",1
417,Chris Sonnenburg,1
418,Shane Prigmore,1
419,Jase Ricci (story editor),1
420,Chris Sonnenburg (developed by),1
421,Shane Prigmore (developed for television by),1
422,Chris Sonnenburg (developed for television by),1
423,Shane Prigmore (developed by),1
424,Jase Ricci,1
425,"Wilhelm Grimm (based upon the fairy tale ""Rapunzel"" by)",1
426,"Jacob Grimm (based upon the fairy tale ""Rapunzel"" by)",1
427,Robert Rodat,1
428,Steve Bloom,1
429,Gene Towne,1
430,Walter Ferris,1
431,C. Graham Baker,1
432,Nathan Greno,1
433,Simon Kinberg,1
434,Babaloo Mandel (screenplay by),1
435,David Mirkin (screenplay),1
436,Brian Suskind,1
437,Ralph Wright (additional story),1
438,Ted Sears (additional story),1
439,Bill Peet (additional story),1
440,Winston Hibler (additional story),1
441,Joe Rinaldi (additional story),1
442,"Charles Perrault (story ""Sleeping Beauty"")",1
443,Richard C. Okie,1
444,Judi Ann Mason,1
445,Jim Cruickshank,1
446,James Orr,1
447,Paul Rudnick (characters),1
448,Paul Rudnick,1
449,Michael Price (consultant writer),1
450,Tim Long (consultant writer),1
451,John Frink (consultant writer),1
452,Joel H. Cohen (consultant writer),1
453,Jon Vitti (screenplay),1
454,John Swartzwelder (screenplay),1
455,Matt Selman (screenplay),1
456,Mike Scully (screenplay),1
457,Mike Reiss (screenplay),1
458,Milt Banta (additional story),1
459,William Hudson,1
460,Lowell Ganz (screenplay by),1
461,Gary Paulsen (book),1
462,Bruce Jay Friedman (screen story by),1
463,Brian Grazer (based on a story by),1
464,Marie Severin,1
465,Dan Spiegle,1
466,Dennis Marks,1
467,Jorge Edelstein,1
468,Steve Marmel,1
469,Tom J. Astle,1
470,Brian Turner,1
471,Garrett Frawley,1
472,Sue Smith,1
473,Frankie O'Rear (book),1
474,Arnold Margolin (screenplay),1
475,Jim Parker (screenplay),1
