,index,splitted
1698,Steve Ditko (based on the Marvel comics by),1
1699,C. Robert Cargill,1
1700,Scott Derrickson,1
1701,Jon Spaihts,1
1702,Shane Black (screenplay by),1
1703,Stan Lee (based on the Marvel comic book by),1
1704,Don Heck (based on the Marvel comic book by),1
1705,Larry Lieber (based on the Marvel comic book by),1
1706,Carmine Di Giandomenico,1
1707,Sara Pichelli,1
1708,Jim Starlin,1
1709,Bill Mantlo,1
1710,David Michelinie,1
1711,Todd McFarlane,1
1712,Walter Simonson (character created by: Malekith),1
1713,Robert Rodat (story by),1
1714,Don Payne (story by),1
1715,Christopher L. Yost (screenplay by),1
1716,Eric Pearson,1
1717,Jack Kirby (comic book),1
1718,Larry Lieber (comic book),1
1719,Stan Lee (comic book),1
1720,Mark Protosevich (story),1
1721,J. Michael Straczynski (story),1
1722,Don Payne (screenplay),1
1723,Zack Stentz (screenplay),1
1724,Ashley Miller (screenplay),1
1725,Joss Whedon (story),1
1726,Zak Penn (story),1
1727,Joss Whedon (screenplay),1
1728,"Adi Granov (based on the ""Extremis"" mini-series illustrated by)",1
1729,"Warren Ellis (based on the ""Extremis"" mini-series written by)",1
1730,Jack Kirby (based on the Marvel comic book by),1
1731,Geneva Robertson-Dworet (story by),1
1732,Anna Boden (story by),1
1733,Tom Lyle,1
1734,Max Pross,1
1735,Mae Catt,1
1736,Margaret Loesch,1
1737,Eric Lewald,1
1738,Sidney Iwanter,1
1739,Laura Shields,1
1740,Berkeley Breathed (book),1
1741,Wendy Wells (screenplay),1
1742,Simon Wells (screenplay),1
1743,James Manfull,1
1744,David Silverman,1
1745,Matt Selman,1
1746,Al Jean,1
1747,Tom Gammill,1
1748,Nicole Perlman (story by),1
1749,Mark Edward Edens (teleplay),1
1750,Andrew Price (teleplay),1
1751,Andrew Price (story),1
1752,Dave Mullins,1
1753,Erica Milsom,1
1754,Matthias De Clercq (story by),1
1755,Adam Burke (story by),1
1756,Alexa Junge (screenplay by),1
1757,Eddie Guzelian (screenplay by),1
1758,Michael LaBash (screenplay by),1
1759,Tony Leondis (screenplay by),1
1760,Chris Sanders (based on an idea by),1
1761,Margaret Dunlap,1
1762,Brian Michael Bendis (based on the Marvel comics by),1
1763,Stefano Caselli (based on the Marvel comics by),1
1764,Mike Deodato Jr. (based on the Marvel comics by),1
1765,Geneva Robertson-Dworet (screenplay by),1
1766,Ryan Fleck (screenplay by),1
1767,Anna Boden (screenplay by),1
1768,Jack Kirby (comic books),1
1769,Joe Simon (comic books),1
1770,Jack Kirby (based on the Marvel Comics by),1
1771,Joe Robert Cole,1
1772,Ryan Coogler,1
1773,Don Heck (Mantis created by),1
1774,Steve Englehart (Mantis created by),1
1775,Gamora & Drax created by),1
1776,Jim Starlin (Thanos,1
1777,Jack Kirby (Captain America created by),1
1778,Joe Simon (Captain America created by),1
1779,Jim Starlin (character created by: Thanos),1
1780,Jack Kirby (character created by: Captain America),1
1781,Joe Simon (character created by: Captain America),1
1782,Joss Whedon,1
1783,Joe Cornish (story by),1
1784,Edgar Wright (story by),1
1785,Paul Rudd (screenplay by),1
1786,Adam McKay (screenplay by),1
1787,Joe Cornish (screenplay by),1
1788,Edgar Wright (screenplay by),1
1789,Danielle Wolff,1
1790,David Hine,1
1791,Howard Mackie,1
1792,Hoyt Yeatman (story),1
1793,John Killoran (teleplay),1
1794,Lindsay Naythons (story),1
1795,Jordan Kandell (story by),1
1796,Aaron Kandell (story by),1
1797,Pamela Ribon (story by),1
1798,Valentine Davies (story),1
1799,George Seaton (written for the screen by),1
1800,Simon George,1
1801,Monte Merrick,1
1802,Chris Bryant,1
1803,Eric Guggenheim,1
1804,David Weissman (story),1
1805,David Diamond (story),1
1806,Frank Cottrell Boyce,1
1807,Jim Peronto (screenplay),1
1808,Sascha Paladino,1
1809,Roger Gould (story),1
1810,Pete Docter (original story),1
1811,Lawrence Konner (screenplay),1
1812,Mark Rosenthal (screenplay),1
1813,Ruth Rose (earlier screenplay),1
1814,Merian C. Cooper (story),1
1815,Matthew O'Callaghan (story),1
1816,Colin Goldman (story),1
1817,Jim Bernstein (screenplay),1
1818,Michael Shipley (screenplay),1
1819,Carole Holliday (story),1
1820,Robert Keats (teleplay),1
1821,Dan Scanlon (story by),1
1822,Daniel Gerson (story by),1
1823,Robert L. Baird (story by),1
1824,Frank Nissen (additional story material),1
1825,Daan Jippes (additional story material),1
1826,Larry Scholl (additional story material),1
1827,Theodore Newton (additional story material),1
1828,Joe Ekers (additional story material),1
1829,Denis Rich (additional story material),1
1830,Jorgen Klubien (additional story material),1
1831,Don Dougherty (additional story material),1
1832,David Reynolds (additional story material),1
1833,Alan Ormsby (additional story material),1
1834,Jodi Ann Johnson (additional story material),1
1835,Linda Woolverton (additional story material),1
1836,Julius Aguimatang (story),1
1837,Tim Hodge (story),1
1838,Chris Williams (story),1
1839,Dean DeBlois (story co-head),1
1840,Eugenia Bostwick-Singer (screenplay by),1
1841,Raymond Singer (screenplay by),1
1842,Philip LaZebnik (screenplay by),1
1843,Chris Sanders (screenplay by),1
1844,Robert D. San Souci (based on a story by),1
1845,Michael Janover,1
1846,Ralph Eggleston (original story by),1
1847,Jeff Pidgeon (original story by),1
1848,Jill Culton (original story by),1
1849,Carole Holliday (screenplay),1
1850,Theresa Cullen (story),1
1851,Will Murray,1
1852,Dan Scanlon (original story),1
1853,Jesse Marsh (story),1
1854,Art Scott (story),1
1855,Diego Garzon (story editor),1
1856,"William Joyce (based upon the book ""A Day with Wilbur Robinson"" by)",1
1857,Stephen J. Anderson (screenplay by),1
1858,Joseph Mateo (screenplay by),1
1859,Aurian Redson (screenplay by),1
1860,Nathan Greno (screenplay by),1
1861,Don Hall (screenplay by),1
1862,Michelle Bochner Spitz (screenplay by),1
1863,Jon Bernstein (screenplay by),1
1864,Jim Herzfeld,1
1865,John Lasseter (original story),1
1866,James Patrick Stoteraux (story),1
1867,Joe Ranft (original story),1
1868,"P.L. Travers (based on: The ""Mary Poppins"" books by)",1
1869,Josh Schwartz,1
1870,Stephanie Savage,1
1871,Brandon Auman,1
1872,Scott Buck,1
1873,Marty Isenberg,1
1874,Andy Lanning,1
1875,Kirsten Smith,1
1876,Stephen McFeely,1
1877,Christopher Markus,1
1878,Fabrice Sapolsky,1
1879,Bob Moore (story),1
1880,"Hardie Gramatky (story ""Little Toot"")",1
1881,Hal Adelquist,1
1882,Walt Disney,1
1883,Chad Fiveash (story),1
1884,Matthew O'Callaghan (screenplay),1
1885,James Patrick Stoteraux (screenplay),1
1886,Chad Fiveash (screenplay),1
1887,Peggy Holmes (story),1
1888,Ross Hastings,1
1889,Alex Mann,1
1890,Eddie Guzelian (interstitial narration),1
1891,Thomas Hart (interstitial narration),1
1892,"O. Henry (story based on: ""The Gift of the Magi"")",1
1893,Richard Cray (screenplay),1
1894,Tom Nance (screenplay),1
1895,"William Dean Howells (story inspired by: ""Christmas Every Day"")",1
1896,Charlie Cohen (screenplay),1
1897,Alan Dinehart (story adaptation),1
1898,Alan Young (story adaptation),1
1899,Don Griffith (story adaptation),1
1900,Ed Gombert (story adaptation),1
1901,Tony Marino (story adaptation),1
1902,Burny Mattinson (story adaptation),1
1903,"Charles Dickens (based on the book: ""A Christmas Carol"" by)",1
1904,Warren Foster (story),1
1905,David Mickey Evans (screenplay),1
1906,Jean-Louis Vandestoc,1
1907,Vincent Chalvon-Demersay,1
1908,Maxwell Brace IV (story),1
1909,Stephanie Moore (characters),1
1910,Stacey Harman,1
1911,John Ramirez (story),1
1912,John Hughes,1
1913,Louis Sachar (screenplay),1
1914,Louis Sachar (novel),1
1915,Neil Cuthbert (screenplay),1
1916,Mick Garris (screenplay),1
1917,Mick Garris (story),1
1918,David Kirschner (story),1
1919,Tim Federle,1
1920,Peter Barsocchini (characters),1
1921,Peter Barsocchini (based on characters created by),1
1922,Don Dougherty (story),1
1923,Tamara Lusher (story),1
1924,Randy Cartwright (story),1
1925,Gordon Buford (characters creator),1
1926,Bob Shaw (animation screenplay by),1
1927,Don McEnery (animation screenplay by),1
1928,John Musker (animation screenplay by),1
1929,Ron Clements (animation screenplay by),1
1930,Gordon Buford (characters),1
1931,Mark Perez (story),1
1932,Robert Ben Garant (story),1
1933,Thomas Lennon (story),1
1934,Miles Millar (screenplay),1
1935,Alfred Gough (screenplay),1
1936,Robert Ben Garant (screenplay),1
1937,Thomas Lennon (screenplay),1
1938,Will Finn,1
1939,John Sanford,1
1940,Will Finn (story),1
1941,Michael LaBash (story),1
1942,Ed Naha (screenplay),1
1943,Ed Naha (story),1
1944,Brian Yuzna (story),1
1945,Stuart Gordon (story),1
1946,Garry Goodrow (screenplay),1
1947,Peter Elbling (screenplay),1
1948,Thom Eberhardt (screenplay),1
1949,Garry Goodrow (story),1
1950,Ed Naha (characters),1
1951,Brian Yuzna (characters),1
1952,Stuart Gordon (characters),1
1953,Sheila Burnford (novel),1
1954,"Sheila Burnford (characters from novel ""The Incredible Journey"")",1
1955,Julie Hickson,1
1956,Chris Hauty,1
1957,Davy Liu (additional story),1
1958,Ralph Zondag (additional story),1
1959,David Moses Pimentel (additional story),1
1960,Shirley Pierce,1
1961,Donnie Long (additional story),1
1962,Jason Lethcoe (additional story),1
1963,Mike Kunkel (additional story),1
1964,Keith Baxter (additional story),1
1965,Robert Lence (story),1
1966,Sam Levine (story),1
1967,Gordon Buford (characters created by),1
1968,Niamh Sharkey,1
1969,Cameron Fay,1
1970,Jan Pinkava,1
1971,Drew Vaupen (creator),1
1972,Phil Baker (creator),1
1973,Steve Bloom (teleplay),1
1974,Laurie Nolan (teleplay),1
1975,Chris Nolan (teleplay),1
1976,Laurie Nolan (story),1
1977,Chris Nolan (story),1
1978,Beth Rigazio,1
1979,Patrick J. Clifton,1
1980,Bettina Gilois,1
1981,Christopher Cleveland,1
1982,Alana Sanko,1
1983,Jay Ward (based upon characters created by),1
1984,Steven Brill,1
1985,Bill Scott (television series),1
1986,Jordan Moffet,1
1987,Audrey Wells (screenplay),1
1988,Dana Olsen (screenplay),1
1989,Jay Ward (characters),1
1990,John Rieck (teleplay),1
1991,John Rieck (story),1
1992,Hilary Galanoy (teleplay),1
1993,Elizabeth Hackett (teleplay),1
1994,Robin Palmer (based on the novel by),1
1995,Greg Weisman,1
1996,David P.I. James (story),1
1997,Geoff Rodkey,1
1998,Meghan Cole (story),1
1999,Nancy De Los Santos (story),1
2000,Nancy De Los Santos (teleplay),1
2001,Judd Apatow,1
2002,Paul W. Cooper,1
2003,Barry O'Brien (characters),1
2004,Rich Correll (characters),1
2005,Michael Poryes (characters),1
2006,Barry O'Brien (character based on the series created by),1
2007,Rich Correll (character based on the series created by),1
2008,Michael Poryes (character based on the series created by),1
2009,Barry O'Brien,1
2010,Rich Correll,1
2011,Marilyn Sadler,1
2012,Roger Bollen,1
2013,Paul Bernbaum (based on characters created by),1
2014,Ali Marie Matheson,1
2015,Jon Cooksey,1
2016,Ali Marie Matheson (teleplay),1
2017,Jon Cooksey (teleplay),1
2018,Paul Bernbaum (teleplay),1
2019,Paul Bernbaum (story),1
2020,Dick Spencer III (teleplay by),1
2021,Larry Lansburgh Jr. (story by),1
2022,Eleanor Atkinson (story),1
2023,Robert Westerby (screenplay),1
2024,Tom Musca (teleplay),1
2025,Ramón Menéndez (teleplay),1
2026,Tom Schulman (screenplay),1
2027,Stuart Gordon (based on characters created by),1
2028,Brian Yuzna (based on characters created by),1
2029,Thierry Lhermitte (earlier screenplay Un indien dans la ville),1
2030,Josh A. Cagan (script),1
2031,Jim O'Doherty,1
2032,Roger Soffer (screenplay),1
2033,Christian Ford (screenplay),1
2034,Paul Michael Glaser (story),1
2035,Rod Peterson,1
2036,Marguerite Henry (novel),1
2037,Calvin Clements Jr.,1
2038,Raynold Gideon (screenplay),1
2039,Bruce A. Evans (screenplay),1
2040,Philippe Bruneau (earlier screenplay Un indien dans la ville),1
2041,Jean-Marie Pallardy (earlier screenplay Un indien dans la ville),1
2042,Hervé Palud (earlier screenplay Un indien dans la ville),1
2043,Ed Naha (based on characters created by),1
2044,Charles Brackett (screenplay),1
2045,Walter Reisch (screenplay),1
2046,Douglas Sloan (teleplay),1
2047,Ann Austen (teleplay),1
2048,"Edgar Rice Burroughs (based on the story ""A Princess of Mars"" by)",1
2049,Michael Chabon (screenplay by),1
2050,Jane Goodall (based on the writings of),1
2051,Brett Morgen,1
2052,Steve Bloom (screenplay),1
2053,Jonathan Roberts (screenplay),1
2054,Karey Kirkpatrick (screenplay),1
2055,Bosco Ng (story),1
2056,Josh A. Cagan,1
2057,Mark McCorkle (characters),1
2058,Mark McCorkle (script),1
2059,Robert Schooley (characters),1
2060,Marc Lawrence,1
2061,Eddie Guzelian,1
2062,Eric Daniel (story),1
2063,Don D. Scott (teleplay),1
2064,Eric Daniel (teleplay),1
2065,Mark Peter Hughes (novel),1
2066,April Blair (teleplay),1
2067,John McCormack,1
2068,Josh Rimes,1
2069,Valerie LaPointe,1
2070,Ward Greene (characters),1
2071,Cindy Marcus (additional screenplay material),1
2072,Flip Kobler (additional screenplay material),1
2073,Don DaGradi (story),1
2074,Ward Greene (from the story by),1
2075,Kari Granlund,1
2076,Andrew Bujalski (screenplay by),1
2077,Enrico Casarosa,1
2078,Tom Rogers (screenplay by),1
2079,Tom Rogers (story by),1
2080,Michael LaBash (story by),1
2081,Tony Leondis (story by),1
2082,Rosana Sullivan,1
2083,Sue Houghton,1
2084,Robert Schooley (script),1
2085,Mark Andrews (story),1
2086,Teddy Newton (story),1
2087,Gary Nadeau,1
2088,Meg Cabot (story),1
2089,Xeth Feinberg (additional story),1
2090,Galen T. Chu (additional story),1
2091,Mike Thurmeier (additional story),1
2092,Jeff Siergey (additional story),1
2093,Doug Compton (additional story),1
2094,James Bresnahan (additional story),1
2095,Peter Ackerman (screenplay by),1
2096,Michael J. Wilson (screenplay by),1
2097,Michael Berg (screenplay by),1
2098,Michael J. Wilson (story by),1
2099,Michael Allin (story),1
2100,Harris Goldberg (screenplay),1
2101,Tom Nursall (screenplay),1
2102,Webb Smith,1
2103,Rex Cox (story),1
2104,Jason Mayland,1
2105,Joseph Stanton (developed by),1
2106,Timothy Kuryak (developed by),1
2107,Stan Hsue (developed by),1
2108,Keith Haskel,1
2109,Chris Conroy,1
2110,Don Calame,1
2111,Joel Hodgson,1
2112,Nell Scovell,1
2113,Karey Kirkpatrick,1
2114,Jim Hecht,1
2115,Hadley Davis (story),1
2116,James DeMonaco,1
2117,Hadley Davis (screenplay),1
2118,Jeff Arch,1
2119,Djordje Milicevic,1
2120,John Michael Hayes,1
2121,Alexandre de La Patellière,1
2122,Romain van Liemt,1
2123,Larry Lieber,1
2124,Amy Rardin (television story by),1
2125,Jessica O'Toole (television story by),1
2126,Matt Eddy (television story by),1
2127,Billy Eddy (television story by),1
2128,Brad Gann,1
2129,Brian Newell,1
2130,Alex Zamm,1
2131,William Robertson,1
2132,Ron Anderson,1
2133,Zak Penn (screenplay),1
2134,Kerry Ehrin (screenplay),1
2135,Kerry Ehrin (story),1
2136,Amy Poehler (additional dialogue by),1
2137,Bill Hader (additional dialogue by),1
2138,Simon Rich (additional story material by),1
2139,Michael Arndt (additional story material by),1
2140,Josh Cooley (screenplay by),1
2141,Ronnie Del Carmen (original story by),1
2142,Vanessa Berlowitz,1
2143,Josie Trinidad (story by),1
